ServiceID,PartName,ServiceType,MileageAtReplacement,WasBroken,Severity
82,"Wiper Blades","Minor Service",5848,"No",1
83,"Wiper Blades","Minor Service",14171,"No",2
84,"Engine Air Filter","Minor Service",27751,"No",2
85,"Brake Pads & Discs","Minor Service",29880,"Yes",5
86,"Drive/Serpentine Belt","Major Service",78487,"Yes",5
87,"Cabin Air Filter","Minor Service",19282,"No",1
88,"Drive/Serpentine Belt","Major Service",75475,"Yes",5
89,"Engine Air Filter","Minor Service",23138,"Yes",3
90,"Shocks & Struts","Major Service",99196,"Yes",3
91,"Spark Plugs","Major Service",66592,"Yes",5
92,"Transmission Fluid","Major Service",68161,"No",1
93,"Cabin Air Filter","Minor Service",18666,"No",1
94,"Coolant Flush","Major Service",80058,"No",1
95,"Brake Pads & Discs","Minor Service",34959,"Yes",5
96,"Wiper Blades","Minor Service",19368,"No",2
97,"Engine Oil & Filter","Minor Service",12481,"No",2
98,"Spark Plugs","Major Service",53644,"Yes",4
99,"Engine Air Filter","Minor Service",16699,"Yes",4
100,"Wiper Blades","Minor Service",16261,"Yes",3
101,"Wiper Blades","Minor Service",17426,"Yes",3
102,"Brake Pads & Discs","Minor Service",33306,"Yes",5
103,"Cabin Air Filter","Minor Service",14817,"No",2
104,"Wiper Blades","Minor Service",15812,"Yes",3
105,"Coolant Flush","Major Service",121903,"No",2
106,"Coolant Flush","Major Service",79057,"No",1
107,"Spark Plugs","Major Service",62851,"Yes",4
108,"Wiper Blades","Minor Service",9646,"No",1
109,"Spark Plugs","Major Service",57185,"No",2
110,"Engine Oil & Filter","Minor Service",10647,"No",1
111,"Brake Pads & Discs","Minor Service",32028,"No",1
112,"Engine Oil & Filter","Minor Service",6801,"No",1
113,"Thermostat","Diagnostic",120011,"Yes",3
114,"Engine Air Filter","Minor Service",19673,"No",1
115,"Engine Oil & Filter","Minor Service",6819,"No",1
116,"Cabin Air Filter","Minor Service",16971,"No",1
117,"Brake Pads & Discs","Minor Service",29902,"No",2
118,"Engine Air Filter","Minor Service",23057,"No",2
119,"Engine Oil & Filter","Minor Service",7892,"No",1
120,"Cabin Air Filter","Minor Service",17499,"No",2
121,"Wiper Blades","Minor Service",16909,"No",2
122,"Wiper Blades","Minor Service",12577,"No",1
123,"Coolant Flush","Major Service",102812,"No",2
124,"Transmission Fluid","Major Service",86067,"Yes",3
125,"Engine Oil & Filter","Minor Service",7945,"No",1
126,"Engine Air Filter","Minor Service",17623,"No",2
127,"Coolant Flush","Major Service",117901,"No",1
128,"Brake Pads & Discs","Minor Service",47498,"No",2
129,"Wiper Blades","Minor Service",15110,"Yes",3
130,"Alternator","Diagnostic",156604,"Yes",5
131,"Wiper Blades","Minor Service",15182,"No",2
132,"Brake Pads & Discs","Minor Service",37661,"No",2
133,"Brake Pads & Discs","Minor Service",30215,"No",2
134,"Spark Plugs","Major Service",58210,"Yes",4
135,"Brake Pads & Discs","Minor Service",35919,"Yes",5
136,"Shocks & Struts","Major Service",93404,"Yes",4
137,"Engine Oil & Filter","Minor Service",9706,"No",1
138,"Engine Air Filter","Minor Service",19999,"No",2
139,"Spark Plugs","Major Service",41376,"Yes",3
140,"Drive/Serpentine Belt","Major Service",68402,"No",2
141,"Wiper Blades","Minor Service",17103,"Yes",4
142,"Shocks & Struts","Major Service",90643,"Yes",4
143,"Engine Oil & Filter","Minor Service",7365,"No",2
144,"Engine Oil & Filter","Minor Service",14316,"No",1
145,"Engine Oil & Filter","Minor Service",10509,"Yes",4
146,"Cabin Air Filter","Minor Service",25338,"No",2
147,"Cabin Air Filter","Minor Service",24113,"Yes",3
148,"Cabin Air Filter","Minor Service",20280,"No",2
149,"Engine Oil & Filter","Minor Service",8876,"No",2
150,"Spark Plugs","Major Service",37213,"Yes",5
151,"Brake Pads & Discs","Minor Service",34185,"No",1
152,"Engine Air Filter","Minor Service",18787,"No",1
153,"Cabin Air Filter","Minor Service",17994,"No",2
154,"Brake Pads & Discs","Minor Service",37480,"Yes",4
155,"Engine Oil & Filter","Minor Service",7108,"No",1
156,"Engine Oil & Filter","Minor Service",8794,"No",1
157,"Fuel Pump","Diagnostic",157479,"Yes",3
158,"Engine Air Filter","Minor Service",19233,"No",2
159,"Engine Air Filter","Minor Service",24224,"No",1
160,"Engine Oil & Filter","Minor Service",12375,"No",2
161,"Engine Oil & Filter","Minor Service",6365,"Yes",5
162,"Transmission Fluid","Major Service",89501,"Yes",4
163,"Wiper Blades","Minor Service",4112,"Yes",3
164,"Wiper Blades","Minor Service",22539,"No",2
165,"Wiper Blades","Minor Service",14075,"No",2
166,"Coolant Flush","Major Service",107777,"No",2
167,"Engine Air Filter","Minor Service",14516,"No",2
168,"Brake Pads & Discs","Minor Service",38402,"No",2
169,"Spark Plugs","Major Service",52526,"Yes",5
170,"Wiper Blades","Minor Service",18375,"Yes",4
171,"Shocks & Struts","Major Service",98145,"Yes",5
172,"Cabin Air Filter","Minor Service",25165,"Yes",4
173,"Engine Air Filter","Minor Service",19412,"No",2
174,"Transmission Fluid","Major Service",88950,"Yes",5
175,"Cabin Air Filter","Minor Service",24966,"No",1
176,"Engine Oil & Filter","Minor Service",9771,"No",1
177,"Transmission Fluid","Major Service",85937,"No",1
178,"Engine Air Filter","Minor Service",19218,"No",1
179,"Cabin Air Filter","Minor Service",20693,"No",1
180,"Brake Pads & Discs","Minor Service",27763,"No",2
181,"Oxygen (O2) Sensor","Diagnostic",142556,"Yes",5
182,"Brake Pads & Discs","Minor Service",28663,"No",2
183,"Cabin Air Filter","Minor Service",22056,"No",1
184,"Spark Plugs","Major Service",69714,"Yes",4
185,"Engine Air Filter","Minor Service",14733,"No",1
186,"Transmission Fluid","Major Service",82808,"No",1
187,"Drive/Serpentine Belt","Major Service",68051,"Yes",3
188,"Shocks & Struts","Major Service",96395,"Yes",3
189,"Engine Air Filter","Minor Service",14472,"No",2
190,"Wiper Blades","Minor Service",16973,"No",1
191,"Spark Plugs","Major Service",68423,"Yes",3
192,"Engine Oil & Filter","Minor Service",10407,"Yes",4
193,"Cabin Air Filter","Minor Service",15627,"No",1
194,"Spark Plugs","Major Service",56861,"Yes",3
195,"Engine Oil & Filter","Minor Service",9491,"Yes",5
196,"Cabin Air Filter","Minor Service",21248,"No",1
197,"Oxygen (O2) Sensor","Diagnostic",111655,"Yes",5
198,"Engine Air Filter","Minor Service",14493,"Yes",3
199,"Brake Pads & Discs","Minor Service",44181,"Yes",3
200,"Engine Air Filter","Minor Service",16177,"No",1
201,"Engine Air Filter","Minor Service",17347,"No",1
202,"Coolant Flush","Major Service",96708,"No",2
203,"Cabin Air Filter","Minor Service",20150,"Yes",5
204,"Engine Oil & Filter","Minor Service",7912,"No",2
205,"Engine Oil & Filter","Minor Service",8338,"No",2
206,"Engine Air Filter","Minor Service",20530,"No",2
207,"Engine Air Filter","Minor Service",21169,"No",2
208,"Coolant Flush","Major Service",104223,"No",2
209,"Cabin Air Filter","Minor Service",23086,"No",1
210,"Wiper Blades","Minor Service",13194,"No",1
211,"Cabin Air Filter","Minor Service",23951,"No",2
212,"Engine Oil & Filter","Minor Service",7013,"No",1
213,"Cabin Air Filter","Minor Service",26489,"Yes",4
214,"Coolant Flush","Major Service",97628,"No",1
215,"Thermostat","Diagnostic",84931,"No",1
216,"Engine Air Filter","Minor Service",17540,"No",1
217,"Wiper Blades","Minor Service",10451,"No",2
218,"Engine Oil & Filter","Minor Service",10017,"Yes",4
219,"Wiper Blades","Minor Service",14628,"No",2
220,"Shocks & Struts","Major Service",75965,"Yes",5
221,"Engine Air Filter","Minor Service",20770,"Yes",3
222,"Engine Air Filter","Minor Service",17868,"No",1
223,"Coolant Flush","Major Service",95964,"No",1
224,"Cabin Air Filter","Minor Service",19958,"No",2
225,"Engine Oil & Filter","Minor Service",9811,"No",2
226,"Mass Airflow Sensor","Diagnostic",104502,"Yes",4
227,"Wiper Blades","Minor Service",23506,"No",2
228,"Brake Pads & Discs","Minor Service",36249,"Yes",3
229,"Engine Air Filter","Minor Service",18857,"No",2
230,"Drive/Serpentine Belt","Major Service",64428,"Yes",5
231,"Spark Plugs","Major Service",67381,"Yes",5
232,"Wiper Blades","Minor Service",17069,"Yes",5
233,"Wiper Blades","Minor Service",13958,"Yes",5
234,"Engine Oil & Filter","Minor Service",10692,"Yes",4
235,"Cabin Air Filter","Minor Service",24061,"No",2
236,"Brake Pads & Discs","Minor Service",29585,"No",2
237,"Engine Oil & Filter","Minor Service",8376,"No",2
238,"Engine Oil & Filter","Minor Service",10558,"Yes",3
239,"Spark Plugs","Major Service",59733,"No",1
240,"Engine Air Filter","Minor Service",12771,"No",2
241,"Engine Oil & Filter","Minor Service",12010,"Yes",4
242,"Shocks & Struts","Major Service",78867,"Yes",3
243,"Engine Oil & Filter","Minor Service",8361,"No",2
244,"Engine Oil & Filter","Minor Service",13460,"No",2
245,"Engine Oil & Filter","Minor Service",9603,"No",1
246,"Engine Oil & Filter","Minor Service",13081,"No",2
247,"Spark Plugs","Major Service",46707,"Yes",4
248,"Engine Air Filter","Minor Service",19642,"No",1
249,"Shocks & Struts","Major Service",106987,"Yes",3
250,"Engine Oil & Filter","Minor Service",8331,"No",2
251,"Mass Airflow Sensor","Diagnostic",98863,"Yes",4
252,"Cabin Air Filter","Minor Service",21462,"Yes",4
253,"Engine Oil & Filter","Minor Service",14352,"Yes",5
254,"Brake Pads & Discs","Minor Service",29960,"Yes",5
255,"Brake Pads & Discs","Minor Service",36675,"No",1
256,"Engine Oil & Filter","Minor Service",10835,"Yes",4
257,"Transmission Fluid","Major Service",77048,"Yes",3
258,"Engine Oil & Filter","Minor Service",8955,"No",2
259,"Wiper Blades","Minor Service",8065,"Yes",3
260,"Engine Oil & Filter","Minor Service",7877,"Yes",3
261,"Wiper Blades","Minor Service",15016,"No",1
262,"Spark Plugs","Major Service",65302,"No",2
263,"Drive/Serpentine Belt","Major Service",70030,"Yes",4
264,"Engine Oil & Filter","Minor Service",8881,"No",1
265,"Engine Oil & Filter","Minor Service",11306,"No",2
266,"Engine Oil & Filter","Minor Service",10432,"Yes",3
267,"Brake Pads & Discs","Minor Service",34502,"No",2
268,"Engine Oil & Filter","Minor Service",9469,"No",1
269,"Engine Air Filter","Minor Service",17037,"No",2
270,"Wiper Blades","Minor Service",14412,"No",2
271,"Alternator","Diagnostic",159916,"Yes",4
272,"Cabin Air Filter","Minor Service",18619,"Yes",5
273,"Wiper Blades","Minor Service",16809,"No",2
274,"Engine Air Filter","Minor Service",17505,"No",1
275,"Brake Pads & Discs","Minor Service",41635,"Yes",3
276,"Engine Air Filter","Minor Service",14619,"No",1
277,"Brake Pads & Discs","Minor Service",36360,"Yes",4
278,"Alternator","Diagnostic",122625,"Yes",4
279,"Engine Oil & Filter","Minor Service",8482,"No",2
280,"Coolant Flush","Major Service",97384,"No",1
281,"Cabin Air Filter","Minor Service",20520,"Yes",5
282,"Engine Oil & Filter","Minor Service",9639,"No",1
283,"Engine Air Filter","Minor Service",25347,"No",2
284,"Brake Pads & Discs","Minor Service",41880,"Yes",4
285,"Engine Oil & Filter","Minor Service",11556,"No",1
286,"Spark Plugs","Major Service",61262,"No",2
287,"Wiper Blades","Minor Service",15736,"Yes",5
288,"Engine Oil & Filter","Minor Service",6753,"No",1
289,"Engine Oil & Filter","Minor Service",11992,"No",1
290,"Alternator","Diagnostic",110936,"Yes",4
291,"Engine Oil & Filter","Minor Service",10480,"No",1
292,"Cabin Air Filter","Minor Service",24242,"No",2
293,"Wiper Blades","Minor Service",12651,"No",1
294,"Wiper Blades","Minor Service",14127,"No",1
295,"Engine Air Filter","Minor Service",16993,"Yes",5
296,"Engine Air Filter","Minor Service",21911,"No",2
297,"Wiper Blades","Minor Service",17918,"No",1
298,"Fuel Pump","Diagnostic",178675,"Yes",3
299,"Cabin Air Filter","Minor Service",19648,"No",1
300,"Wiper Blades","Minor Service",15137,"No",1
301,"Brake Pads & Discs","Minor Service",35178,"No",2
302,"Engine Air Filter","Minor Service",15143,"No",1
303,"Engine Air Filter","Minor Service",23930,"No",1
304,"Engine Air Filter","Minor Service",15044,"No",2
305,"Fuel Pump","Diagnostic",119044,"Yes",4
306,"Cabin Air Filter","Minor Service",19019,"No",1
307,"Wiper Blades","Minor Service",13379,"Yes",3
308,"Cabin Air Filter","Minor Service",19414,"No",1
309,"Cabin Air Filter","Minor Service",16229,"Yes",3
310,"Cabin Air Filter","Minor Service",18933,"No",1
311,"Brake Pads & Discs","Minor Service",34790,"No",1
312,"Cabin Air Filter","Minor Service",21800,"Yes",5
313,"Cabin Air Filter","Minor Service",17129,"No",1
314,"Transmission Fluid","Major Service",76182,"No",1
315,"Engine Oil & Filter","Minor Service",11231,"No",1
316,"Wiper Blades","Minor Service",17728,"No",1
317,"Cabin Air Filter","Minor Service",18061,"No",1
318,"Brake Pads & Discs","Minor Service",21201,"No",2
319,"Engine Oil & Filter","Minor Service",10466,"No",1
320,"Engine Oil & Filter","Minor Service",11632,"No",2
321,"Spark Plugs","Major Service",52532,"Yes",5
322,"Engine Oil & Filter","Minor Service",9482,"No",1
323,"Transmission Fluid","Major Service",67649,"Yes",4
324,"Cabin Air Filter","Minor Service",23846,"No",1
325,"Engine Air Filter","Minor Service",15487,"No",2
326,"Cabin Air Filter","Minor Service",22017,"No",2
327,"Cabin Air Filter","Minor Service",19422,"No",2
328,"Drive/Serpentine Belt","Major Service",68245,"Yes",5
329,"Coolant Flush","Major Service",116961,"No",1
330,"Cabin Air Filter","Minor Service",27811,"No",2
331,"Wiper Blades","Minor Service",11661,"No",1
332,"Engine Air Filter","Minor Service",19706,"No",2
333,"Spark Plugs","Major Service",59331,"No",2
334,"Engine Air Filter","Minor Service",23626,"Yes",4
335,"Engine Air Filter","Minor Service",17762,"No",1
336,"Engine Oil & Filter","Minor Service",11864,"Yes",5
337,"Engine Oil & Filter","Minor Service",9220,"No",1
338,"Thermostat","Diagnostic",102521,"Yes",5
339,"Engine Air Filter","Minor Service",22066,"Yes",4
340,"Transmission Fluid","Major Service",80911,"No",1
341,"Engine Air Filter","Minor Service",20065,"Yes",3
342,"Wiper Blades","Minor Service",18753,"Yes",4
343,"Coolant Flush","Major Service",105499,"No",2
344,"Transmission Fluid","Major Service",67557,"No",2
345,"Engine Air Filter","Minor Service",24181,"Yes",4
346,"Spark Plugs","Major Service",57646,"No",1
347,"Brake Pads & Discs","Minor Service",30506,"No",1
348,"Cabin Air Filter","Minor Service",15569,"No",1
349,"Engine Oil & Filter","Minor Service",10424,"No",2
350,"Oxygen (O2) Sensor","Diagnostic",127631,"Yes",3
351,"Cabin Air Filter","Minor Service",23172,"No",2
352,"Brake Pads & Discs","Minor Service",37585,"No",2
353,"Engine Air Filter","Minor Service",21368,"Yes",3
354,"Engine Air Filter","Minor Service",23864,"Yes",3
355,"Engine Oil & Filter","Minor Service",11306,"Yes",3
356,"Drive/Serpentine Belt","Major Service",81052,"Yes",5
357,"Wiper Blades","Minor Service",18709,"Yes",5
358,"Fuel Pump","Diagnostic",166172,"Yes",5
359,"Cabin Air Filter","Minor Service",16662,"No",1
360,"Engine Oil & Filter","Minor Service",11174,"No",1
361,"Cabin Air Filter","Minor Service",15010,"No",1
362,"Engine Oil & Filter","Minor Service",6720,"No",2
363,"Brake Pads & Discs","Minor Service",34065,"Yes",5
364,"Wiper Blades","Minor Service",15028,"No",2
365,"Wiper Blades","Minor Service",14816,"No",1
366,"Wiper Blades","Minor Service",17574,"Yes",4
367,"Cabin Air Filter","Minor Service",18619,"No",1
368,"Cabin Air Filter","Minor Service",20614,"No",1
369,"Engine Oil & Filter","Minor Service",9626,"No",1
370,"Cabin Air Filter","Minor Service",21652,"Yes",3
371,"Coolant Flush","Major Service",103502,"No",1
372,"Fuel Pump","Diagnostic",208104,"Yes",5
373,"Cabin Air Filter","Minor Service",19709,"No",2
374,"Engine Oil & Filter","Minor Service",9642,"No",2
375,"Cabin Air Filter","Minor Service",18727,"No",1
376,"Engine Oil & Filter","Minor Service",5518,"No",1
377,"Drive/Serpentine Belt","Major Service",87750,"Yes",3
378,"Engine Air Filter","Minor Service",18079,"No",1
379,"Cabin Air Filter","Minor Service",15637,"No",1
380,"Wiper Blades","Minor Service",18839,"Yes",5
381,"Brake Pads & Discs","Minor Service",28657,"Yes",5
382,"Drive/Serpentine Belt","Major Service",80258,"Yes",4
383,"Engine Air Filter","Minor Service",21626,"No",2
384,"Wiper Blades","Minor Service",22990,"No",1
385,"Drive/Serpentine Belt","Major Service",70597,"No",1
386,"Cabin Air Filter","Minor Service",23811,"No",2
387,"Engine Air Filter","Minor Service",17659,"No",1
388,"Engine Oil & Filter","Minor Service",12093,"No",2
389,"Wiper Blades","Minor Service",11131,"No",2
390,"Engine Oil & Filter","Minor Service",13421,"Yes",5
391,"Brake Pads & Discs","Minor Service",40138,"Yes",4
392,"Brake Pads & Discs","Minor Service",39841,"No",2
393,"Engine Oil & Filter","Minor Service",11843,"No",1
394,"Engine Air Filter","Minor Service",14325,"No",2
395,"Transmission Fluid","Major Service",73644,"No",2
396,"Engine Air Filter","Minor Service",15972,"No",1
397,"Engine Oil & Filter","Minor Service",10939,"Yes",4
398,"Brake Pads & Discs","Minor Service",32715,"No",1
399,"Engine Air Filter","Minor Service",21673,"No",1
400,"Mass Airflow Sensor","Diagnostic",102538,"Yes",4
401,"Brake Pads & Discs","Minor Service",40805,"No",1
402,"Engine Air Filter","Minor Service",19530,"No",1
403,"Wiper Blades","Minor Service",12237,"Yes",4
404,"Cabin Air Filter","Minor Service",20029,"No",1
405,"Engine Air Filter","Minor Service",21896,"No",1
406,"Brake Pads & Discs","Minor Service",25237,"Yes",5
407,"Cabin Air Filter","Minor Service",17375,"No",2
408,"Drive/Serpentine Belt","Major Service",79863,"Yes",5
409,"Cabin Air Filter","Minor Service",20093,"No",2
410,"Shocks & Struts","Major Service",94885,"Yes",4
411,"Wiper Blades","Minor Service",10264,"Yes",3
412,"Brake Pads & Discs","Minor Service",44030,"No",2
413,"Brake Pads & Discs","Minor Service",33962,"Yes",5
414,"Engine Oil & Filter","Minor Service",8110,"No",1
415,"Thermostat","Diagnostic",104148,"Yes",5
416,"Spark Plugs","Major Service",56251,"Yes",3
417,"Engine Oil & Filter","Minor Service",14705,"No",1
418,"Engine Air Filter","Minor Service",19255,"No",1
419,"Engine Air Filter","Minor Service",21007,"Yes",5
420,"Brake Pads & Discs","Minor Service",33329,"No",2
421,"Brake Pads & Discs","Minor Service",39712,"Yes",3
422,"Cabin Air Filter","Minor Service",19424,"No",2
423,"Transmission Fluid","Major Service",90606,"Yes",4
424,"Spark Plugs","Major Service",57735,"No",2
425,"Engine Air Filter","Minor Service",18339,"No",2
426,"Wiper Blades","Minor Service",16789,"No",2
427,"Brake Pads & Discs","Minor Service",25046,"No",2
428,"Engine Oil & Filter","Minor Service",10412,"No",1
429,"Engine Oil & Filter","Minor Service",6502,"No",2
430,"Engine Oil & Filter","Minor Service",11800,"Yes",4
431,"Brake Pads & Discs","Minor Service",31770,"No",1
432,"Wiper Blades","Minor Service",10854,"Yes",4
433,"Wiper Blades","Minor Service",10895,"Yes",5
434,"Engine Oil & Filter","Minor Service",7903,"No",1
435,"Wiper Blades","Minor Service",8674,"No",2
436,"Transmission Fluid","Major Service",65913,"No",2
437,"Engine Air Filter","Minor Service",16484,"No",2
438,"Engine Air Filter","Minor Service",23417,"No",1
439,"Drive/Serpentine Belt","Major Service",70254,"Yes",5
440,"Spark Plugs","Major Service",65608,"Yes",3
441,"Engine Oil & Filter","Minor Service",9678,"No",2
442,"Engine Oil & Filter","Minor Service",7550,"No",1
443,"Engine Air Filter","Minor Service",23081,"No",1
444,"Engine Oil & Filter","Minor Service",9693,"No",1
445,"Cabin Air Filter","Minor Service",20010,"Yes",4
446,"Cabin Air Filter","Minor Service",20977,"No",1
447,"Brake Pads & Discs","Minor Service",38300,"No",1
448,"Cabin Air Filter","Minor Service",21280,"No",1
449,"Brake Pads & Discs","Minor Service",33509,"No",2
450,"Cabin Air Filter","Minor Service",17991,"No",1
451,"Spark Plugs","Major Service",63202,"Yes",5
452,"Engine Air Filter","Minor Service",26440,"No",1
453,"Engine Oil & Filter","Minor Service",9247,"No",1
454,"Engine Oil & Filter","Minor Service",9955,"No",2
455,"Drive/Serpentine Belt","Major Service",61177,"No",2
456,"Engine Air Filter","Minor Service",19732,"No",2
457,"Coolant Flush","Major Service",107532,"No",2
458,"Wiper Blades","Minor Service",12424,"No",2
459,"Mass Airflow Sensor","Diagnostic",96293,"Yes",4
460,"Oxygen (O2) Sensor","Diagnostic",124932,"Yes",5
461,"Shocks & Struts","Major Service",96179,"Yes",4
462,"Engine Oil & Filter","Minor Service",5948,"No",2
463,"Alternator","Diagnostic",133659,"Yes",4
464,"Spark Plugs","Major Service",61082,"No",1
465,"Engine Oil & Filter","Minor Service",8300,"No",2
466,"Engine Oil & Filter","Minor Service",6354,"No",1
467,"Wiper Blades","Minor Service",17445,"No",1
468,"Wiper Blades","Minor Service",9795,"No",2
469,"Engine Air Filter","Minor Service",22406,"Yes",3
470,"Cabin Air Filter","Minor Service",22236,"No",2
471,"Engine Air Filter","Minor Service",15668,"No",1
472,"Cabin Air Filter","Minor Service",15936,"Yes",4
473,"Engine Air Filter","Minor Service",21158,"No",2
474,"Mass Airflow Sensor","Diagnostic",116530,"Yes",5
475,"Cabin Air Filter","Minor Service",24342,"Yes",4
476,"Shocks & Struts","Major Service",67934,"No",2
477,"Cabin Air Filter","Minor Service",20585,"No",1
478,"Wiper Blades","Minor Service",21156,"Yes",3
479,"Wiper Blades","Minor Service",19525,"No",2
480,"Drive/Serpentine Belt","Major Service",66220,"No",2
481,"Engine Oil & Filter","Minor Service",11019,"No",1
482,"Wiper Blades","Minor Service",14855,"No",1
483,"Shocks & Struts","Major Service",82606,"Yes",4
484,"Engine Oil & Filter","Minor Service",7476,"No",2
485,"Cabin Air Filter","Minor Service",17728,"No",2
486,"Oxygen (O2) Sensor","Diagnostic",121902,"Yes",5
487,"Engine Air Filter","Minor Service",23001,"No",2
488,"Cabin Air Filter","Minor Service",16172,"No",2
489,"Brake Pads & Discs","Minor Service",39240,"Yes",5
490,"Cabin Air Filter","Minor Service",20963,"Yes",4
491,"Engine Oil & Filter","Minor Service",10060,"No",1
492,"Engine Air Filter","Minor Service",14712,"No",1
493,"Brake Pads & Discs","Minor Service",39190,"Yes",3
494,"Transmission Fluid","Major Service",76688,"No",1
495,"Cabin Air Filter","Minor Service",18063,"No",1
496,"Spark Plugs","Major Service",43245,"Yes",5
497,"Engine Oil & Filter","Minor Service",13016,"Yes",5
498,"Cabin Air Filter","Minor Service",21158,"No",1
499,"Spark Plugs","Major Service",50477,"No",2
500,"Wiper Blades","Minor Service",15399,"Yes",4
501,"Shocks & Struts","Major Service",86848,"Yes",4
502,"Engine Air Filter","Minor Service",26774,"Yes",5
503,"Spark Plugs","Major Service",52554,"No",1
504,"Shocks & Struts","Major Service",81915,"Yes",4
505,"Brake Pads & Discs","Minor Service",39132,"Yes",5
506,"Cabin Air Filter","Minor Service",19323,"No",2
507,"Brake Pads & Discs","Minor Service",30219,"No",1
508,"Engine Oil & Filter","Minor Service",8797,"No",1
509,"Shocks & Struts","Major Service",60491,"Yes",5
510,"Engine Air Filter","Minor Service",15646,"No",1
511,"Wiper Blades","Minor Service",17096,"Yes",5
